id,clean_customer,gold_intent,gold_escalate,gold_escalate_reason,notes
g001,Refund is done what abt the loss I beared,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g002,where is your windows app?,UNCLEAR_VAGUE,True,No escalation needed; standard support handling is sufficient.,It’s a unclear vague
g003,"the thing is... this service is still awful. You're automated bots don't even know how to track an order AND when I called your ""rep"" asked for my name 5 times...",ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g004,Vous êtes les premiers que je contacte.,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g005,"Half of my ‘Kindle’ screen has gone, I am 1/4 way through a book, what can I do??
 ??",DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g006,"I never received my order,
Your customer support not able to trace the pack.
Wish to get refund",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,seems like order haven't received yet so they wish to get refund 
g007,hey I want my money back,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g008,i cant even get into my account. and you guys said u will email me back but never did,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g009,I had filled this form 4-5 days ago. It further shows the shoddy customer management systems and processes  has.,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g010,Delivery date is today..  it's 6pm already!,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g011,When I click the link above it asks me to login to my amazon account. Which I can’t do since it’s frozen,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g012,Si supera la cantidad,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g013,il est où l'intérêt de la livraison en prime si votre transporteur ne respecte pas le délai et change le jour de livraison comme il veut ?,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g014,The fidget spinners that I ordered from  came cracked 😭,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g015,No specific carrier because the delay always comes before the items are actually picked up,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g016,Switched my Kindle account from boyfriend to me and now it won’t download games 💔 fuck technology,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g017,I’ve already been in contact about this and been fobbed off. I usually recommend Amazon as having excellent customer service but recently I am really disappointed as the service delivered isn’t up to previous standards,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
